Expected,Predicted_cc_full,Predicted_cc_small,Predicted_visual_coco,Predicted_vil_coco,Predicted_vqa,Predicted_votinglabel_3model,Predicted_votinglabel_5model,Predicted_votingmean_prob_5model,Predicted_votingsum_prob_5model,Predicted_votingmean_prob_3model,Predicted_votingsum_prob_3model
1,0.359397233,0.687275708,0.726716518,0.978239596,0.68556869,0.978239596,0.978239596,0.687439549,0.866966054,0.688117782,0.755600145
1,0.079193741,0.231567889,0.219402254,0.331846446,0.179768652,0.079193741,0.079193741,0.208355796,0.051346734,0.21014748,0.149425366
1,0.282123148,0.282112807,0.019618612,0.002467069,0.193646997,0.002467069,0.002467069,0.155993727,0.031066596,0.101402943,0.083816841
1,0.020546708,0.168031231,0.018277613,0.000522899,0.10001725,0.000522899,0.000522899,0.06147914,0.012306941,0.01311574,0.051110347
1,0.318530232,0.289185524,0.000771868,0.000196688,0.235350847,0.000196688,0.000196688,0.168807032,0.035164191,0.106499596,0.086195205
1,0.209303826,0.09130843,0.052481323,0.001180833,0.263132751,0.001180833,0.001180833,0.123481433,0.022638919,0.087655327,0.07769622
1,0.967239141,0.513226509,0.972712576,0.466183692,0.520163178,0.972712576,0.972712576,0.68790502,0.867501992,0.802045137,0.8596361
1,0.750044644,0.624450088,0.394999385,0.511503935,0.568464875,0.750044644,0.750044644,0.569892585,0.667949577,0.552182655,0.577640761
1,0.664689779,0.249971926,0.314121962,0.008520963,0.241369262,0.008520963,0.008520963,0.295734778,0.114796942,0.329110901,0.26398959
1,0.047647845,0.024175305,0.016417254,0.000201513,0.087592803,0.000201513,0.000201513,0.035206944,0.009490477,0.021422204,0.053582221
1,0.01734014,0.216395617,0.113259465,0.000287989,0.098230854,0.000287989,0.000287989,0.089102813,0.016159243,0.043629198,0.060755124
1,0.052837066,0.058389947,0.016851109,0.006916973,0.165148914,0.006916973,0.006916973,0.060028802,0.012131886,0.025535049,0.054847499
1,0.450235635,0.657913208,0.007644684,0.824139297,0.080011129,0.007644684,0.007644684,0.403988791,0.276855753,0.427339872,0.392703857
1,0.315730512,0.299615741,0.103300691,0.643666208,0.1791116,0.103300691,0.103300691,0.30828495,0.12817966,0.35423247,0.294296964
1,0.146958157,0.030950429,0.674511373,0.997497976,0.103540368,0.997497976,0.030950429,0.390691661,0.2510381,0.606322502,0.654286518
1,0.116886616,0.072333671,0.001347949,0.048733119,0.135723233,0.001347949,0.001347949,0.075004918,0.014064309,0.055655894,0.065005751
1,0.858997405,0.570509255,0.956604242,0.994597554,0.30781275,0.994597554,0.994597554,0.737704241,0.915059837,0.936733067,0.932162904
1,0.83175981,0.671260059,0.98196131,0.999503851,0.822490454,0.999503851,0.999503851,0.861395097,0.973761816,0.937741657,0.932544575
1,0.781078339,0.220864236,0.69435823,0.678785205,0.173796088,0.781078339,0.781078339,0.509776419,0.5244216,0.718073924,0.787252588
1,0.922842324,0.76394701,0.997839153,0.998934567,0.82433778,0.998934567,0.998934567,0.901580167,0.982290775,0.973205348,0.944759399
1,0.083799861,0.096507601,0.001375281,0.004892024,0.106598899,0.001375281,0.001375281,0.058634733,0.011965943,0.030022389,0.056260066
1,0.953094423,0.791564226,0.999373496,0.998058736,0.823499262,0.999373496,0.999373496,0.913118029,0.984190062,0.983508885,0.947898481
1,0.802375674,0.329339027,0.927498877,0.968273342,0.156945795,0.968273342,0.968273342,0.636886543,0.797196785,0.899382631,0.916544402
1,0.342092425,0.267907292,0.011082342,0.350359768,0.170969784,0.011082342,0.011082342,0.228482322,0.062083727,0.234511511,0.168971935
1,0.584750652,0.582746506,0.002212505,0.28920266,0.818454385,0.002212505,0.818454385,0.455473342,0.390486766,0.292055273,0.223104017
1,0.027565271,0.286023051,0.036160503,0.500027478,0.130265787,0.027565271,0.027565271,0.196008418,0.045654838,0.18791775,0.133253468
1,0.792578876,0.586770117,0.841217399,0.998987734,0.172758088,0.998987734,0.998987734,0.678462443,0.85626695,0.87759467,0.905984967
1,0.467406929,0.271207273,0.227308854,0.01493524,0.265141845,0.01493524,0.01493524,0.249200028,0.075299269,0.236550341,0.170696657
1,0.705333054,0.17509453,0.033365816,0.101798184,0.579331815,0.033365816,0.033365816,0.31898468,0.140619611,0.280165685,0.210983735
1,0.159596071,0.774054706,0.784306347,0.976745188,0.348773628,0.976745188,0.976745188,0.608695188,0.747807307,0.640215869,0.698737933
1,0.232013404,0.636470556,0.092314124,0.437381506,0.208245471,0.092314124,0.092314124,0.321285012,0.143422513,0.253903011,0.185944254
1,0.022811487,0.10248626,0.001550555,0.010819689,0.169402376,0.001550555,0.001550555,0.061414073,0.012299034,0.011727244,0.050707818
1,0.413805187,0.160579696,0.226942405,0.037162125,0.1435422,0.037162125,0.037162125,0.196406323,0.045828521,0.225969906,0.161897015
1,0.36840871,0.245599374,0.005325303,0.005640095,0.155304998,0.005325303,0.005325303,0.156055696,0.031085255,0.126458036,0.096106744
1,0.432396352,0.715223014,0.059346233,0.60453105,0.819877267,0.059346233,0.819877267,0.526274783,0.565311649,0.365424545,0.308433569
1,0.25309208,0.315152764,0.75892514,0.102960691,0.247015253,0.102960691,0.102960691,0.335429186,0.16168985,0.371659304,0.31646955
1,0.120326154,0.40052104,0.233844146,0.126627296,0.212444037,0.120326154,0.120326154,0.218752535,0.05665378,0.160265865,0.115229264
1,0.67917645,0.419239491,0.729396284,0.940538883,0.187276274,0.940538883,0.940538883,0.591125476,0.713256858,0.783037206,0.845302536
1,0.464879245,0.368061453,0.971883476,0.183964252,0.251091182,0.183964252,0.183964252,0.447975922,0.372795932,0.540242324,0.56007192
1,0.005950178,0.03979408,0.002186581,0.000443804,0.139910147,0.000443804,0.000443804,0.037656958,0.009723578,0.002860188,0.048207205
1,0.254897505,0.08413586,0.607934117,0.99209094,0.189455986,0.99209094,0.08413586,0.425702882,0.32235477,0.618307521,0.670366937
1,0.657184899,0.560536921,0.004484534,0.002688733,0.823589742,0.002688733,0.823589742,0.409696966,0.28842816,0.221452722,0.158253108
1,0.737790823,0.746567607,0.966110587,0.976109147,0.42599079,0.976109147,0.976109147,0.770513791,0.93732914,0.893336852,0.91372747
1,0.053575348,0.034150463,0.001111713,0.000208801,0.138644323,0.000208801,0.000208801,0.045538129,0.010512535,0.018298621,0.052639731
1,0.172053382,0.260508209,0.008352626,0.047457486,0.100022495,0.008352626,0.008352626,0.11767884,0.02138996,0.075954498,0.072812173
1,0.085398972,0.074731164,0.155506983,0.001589133,0.119660757,0.001589133,0.001589133,0.087377402,0.015887212,0.080831696,0.074812612
1,0.384646177,0.081461832,0.557154536,0.957042217,0.185597971,0.957042217,0.081461832,0.433180547,0.338901233,0.632947644,0.689479247
1,0.704581678,0.633318543,0.293635815,0.345148772,0.21168983,0.21168983,0.21168983,0.437674928,0.349042487,0.447788755,0.422317388
1,0.603434205,0.726783693,0.941340506,0.70408088,0.826591194,0.941340506,0.941340506,0.760446095,0.931148128,0.74961853,0.817232859
1,0.683601797,0.822414994,0.990572989,0.322842747,0.8249259,0.990572989,0.990572989,0.728871685,0.907938253,0.665672511,0.729884186
1,0.024703454,0.367777139,0.001531485,0.019772539,0.151678741,0.001531485,0.001531485,0.113092672,0.020450744,0.015335826,0.051760242
1,0.119076274,0.188462481,0.00097434,0.002152721,0.085715316,0.00097434,0.00097434,0.079276227,0.01466905,0.040734445,0.059771536
1,0.087180115,0.303426236,0.899258137,0.000567958,0.380132139,0.000567958,0.000567958,0.334112917,0.159913633,0.32900207,0.263862734
1,0.11998646,0.286915064,0.929263532,0.002488805,0.414448023,0.002488805,0.002488805,0.350620377,0.183352617,0.350579599,0.289765668
1,0.029040121,0.305347919,0.126374006,0.001105578,0.125971064,0.001105578,0.001105578,0.117567738,0.021366716,0.052173235,0.06374718
1,0.359583706,0.202251717,0.036960494,0.001034948,0.140503362,0.001034948,0.001034948,0.148066845,0.028767166,0.132526383,0.099316544
1,0.045645762,0.09805043,0.000711544,0.001410588,0.1041767,0.000711544,0.000711544,0.049999005,0.010986835,0.015922631,0.051933322
1,0.612905502,0.5162462,0.934172571,0.562620759,0.196728423,0.934172571,0.934172571,0.564534691,0.655961135,0.703232944,0.771957532
1,0.855384111,0.462271094,0.937452257,0.607385933,0.094628178,0.937452257,0.937452257,0.591424315,0.713867656,0.8000741,0.858203048
1,0.028939931,0.074852459,0.821658492,0.000146543,0.122565188,0.000146543,0.000146543,0.209632522,0.051972204,0.283581655,0.214415877
1,0.34369722,0.513794899,0.006512128,0.009383403,0.180806786,0.006512128,0.006512128,0.210838887,0.052569816,0.11986425,0.092724409
1,0.019906156,0.189710125,0.03335565,0.001131664,0.140323132,0.001131664,0.001131664,0.076885345,0.014327455,0.018131156,0.052589646
1,0.651011825,0.552189887,0.995512903,0.002491648,0.810988724,0.995512903,0.995512903,0.602438997,0.73582683,0.549672125,0.573961536
1,0.245553225,0.676447213,0.919816494,0.981438279,0.513491452,0.981438279,0.981438279,0.667349333,0.842041017,0.715602666,0.784758605
1,0.575600505,0.113301151,0.271648854,0.005673794,0.110243306,0.005673794,0.005673794,0.215293522,0.054833241,0.284307718,0.215150585
1,0.270779133,0.423845142,0.994505107,0.925423145,0.3782022,0.994505107,0.270779133,0.598550946,0.728200044,0.730235795,0.799218123
1,0.499622047,0.604051888,0.715104461,0.963559687,0.089272395,0.963559687,0.963559687,0.574322096,0.677699789,0.726095398,0.795202056
1,0.077537604,0.278260767,0.203178525,0.006657014,0.131996945,0.006657014,0.006657014,0.139526171,0.026474596,0.095791048,0.081267135
1,0.283081263,0.676117659,0.691174865,0.327045888,0.142497435,0.142497435,0.142497435,0.423983422,0.318610274,0.433767339,0.401938147
1,0.009488778,0.043101378,0.01446591,0.003534191,0.24546732,0.003534191,0.003534191,0.063211516,0.012519308,0.00916296,0.049972302
1,0.023540523,0.061898436,0.001030456,9.42E-05,0.1126417,9.41935E-05,9.41935E-05,0.039841062,0.009936154,0.008221724,0.049704871
1,0.813179791,0.781646013,0.999138474,0.931875288,0.826817155,0.999138474,0.999138474,0.870531344,0.975997767,0.914731185,0.923323693
1,0.179226384,0.206920356,0.013132538,0.035411872,0.140559316,0.013132538,0.013132538,0.115050093,0.020846567,0.075923598,0.072799657
1,0.46078679,0.083461247,0.859453857,0.814831495,0.15478237,0.859453857,0.083461247,0.474663152,0.436994575,0.711690714,0.780767446
1,0.018770505,0.241454408,0.084341407,0.00130173,0.06751401,0.00130173,0.00130173,0.082676412,0.015168706,0.034804547,0.057803054
1,0.256341755,0.363623559,0.995937109,0.29313001,0.146910191,0.146910191,0.146910191,0.411188525,0.29149903,0.515136292,0.522688845
1,0.050370485,0.553834379,0.994326293,0.031488854,0.220969945,0.031488854,0.031488854,0.370197991,0.214498422,0.358728544,0.299930521
1,0.910556495,0.744820058,0.998358905,0.90682596,0.453340799,0.998358905,0.998358905,0.802780443,0.953814549,0.938580453,0.932860474
1,0.979695439,0.736503839,0.992814481,0.997170746,0.470102787,0.997170746,0.997170746,0.835257459,0.966189043,0.989893556,0.94975826
1,0.036844626,0.170165092,0.01819546,0.001429457,0.125337914,0.001429457,0.001429457,0.07039451,0.013439124,0.018823181,0.052796907
1,0.70388788,0.664328337,0.998915076,0.999603927,0.825455308,0.999603927,0.999603927,0.838438106,0.967212823,0.900802294,0.917193641
1,0.755175591,0.928109705,0.762878597,0.152629644,0.627532363,0.928109705,0.928109705,0.64526518,0.810406213,0.55689461,0.584522706
1,0.737189293,0.267035127,0.549804151,0.064606413,0.151653007,0.737189293,0.064606413,0.354057598,0.188555436,0.450533286,0.426339866
1,0.664247394,0.547572076,0.989466846,0.996356726,0.825475395,0.996356726,0.996356726,0.804623687,0.954619783,0.883356988,0.908888793
1,0.907988131,0.407212645,0.112569131,0.990417898,0.167125061,0.990417898,0.112569131,0.517062573,0.542553245,0.670325053,0.735352324
1,0.860438704,0.240368098,0.009287948,0.132721633,0.149228275,0.009287948,0.009287948,0.278408932,0.098330775,0.334149428,0.269905234
1,0.17083697,0.597497702,0.4357346,0.01451957,0.163065478,0.01451957,0.01451957,0.276330864,0.096503639,0.20703038,0.147063866
1,0.220398918,0.35398984,0.997187555,0.02867767,0.348312706,0.02867767,0.02867767,0.389713338,0.249203161,0.415421381,0.375786402
1,0.531339467,0.423698276,0.167480513,0.692517221,0.451794744,0.692517221,0.167480513,0.453366044,0.385482986,0.463779067,0.445881437
1,0.104695208,0.284239024,0.589427352,0.000532326,0.120824955,0.000532326,0.000532326,0.219943773,0.0572938,0.231551629,0.166492807
1,0.838054657,0.57970947,0.996283352,0.78218627,0.618986845,0.996283352,0.996283352,0.763044119,0.932795212,0.87217476,0.903178275
1,0.774074495,0.653954923,0.952744126,0.982124567,0.119329594,0.982124567,0.982124567,0.696445541,0.877014322,0.902981063,0.9181811
1,0.794075787,0.471763998,0.391905665,0.989223599,0.186097369,0.989223599,0.186097369,0.566613284,0.660636697,0.725068351,0.794196667
1,0.757323444,0.507314026,0.996646583,0.993546069,0.211608782,0.996646583,0.996646583,0.693287781,0.873567608,0.915838699,0.923792823
1,0.719048381,0.491935909,0.739547551,0.045536768,0.212066069,0.739547551,0.045536768,0.441626935,0.358074625,0.501377566,0.502066338
1,0.583261847,0.254238188,0.013096116,0.999793231,0.658747137,0.999793231,0.999793231,0.501827304,0.504568133,0.532050398,0.547927989
1,0.621447802,0.274716645,0.1281057,0.00768991,0.17592828,0.00768991,0.00768991,0.241577667,0.070160708,0.252414471,0.18459613
1,0.845362663,0.838318169,0.474967241,0.90776813,0.333807707,0.90776813,0.90776813,0.680044782,0.858203439,0.742699345,0.810950184
1,0.248793393,0.325185478,0.523186445,0.003388532,0.147298753,0.003388532,0.003388532,0.24957052,0.075557647,0.258456123,0.190114977
1,0.640697837,0.362472296,0.975409865,0.87371397,0.313158303,0.975409865,0.975409865,0.633090454,0.790990218,0.829940557,0.878643137
1,0.039237194,0.129549786,0.203880221,0.000314509,0.197600365,0.000314509,0.000314509,0.114116415,0.020656835,0.081143974,0.074942402
1,0.314873785,0.546081424,0.727552891,0.392607719,0.827946663,0.314873785,0.827946663,0.561812496,0.64979198,0.478344798,0.467562818
1,0.089776449,0.480507344,0.995445967,0.667339802,0.153979808,0.995445967,0.089776449,0.477409874,0.443763633,0.584187406,0.623662835
1,0.680203497,0.069868892,0.034724049,0.650726616,0.109818861,0.680203497,0.034724049,0.309068383,0.129057697,0.455218054,0.433228315
1,0.734827816,0.687395751,0.721910477,0.038004365,0.374280393,0.734827816,0.734827816,0.511283761,0.528179508,0.498247553,0.497371353
1,0.706203103,0.416091561,0.967396021,0.985386133,0.799490511,0.985386133,0.985386133,0.774913466,0.93986446,0.886328419,0.910354454
1,0.839472353,0.770472407,0.005364069,0.988192379,0.493359566,0.988192379,0.988192379,0.619372155,0.767406,0.611009601,0.660619829
1,0.046854641,0.103066809,0.017533798,0.00051241,0.117575333,0.00051241,0.00051241,0.057108598,0.011786849,0.021633616,0.053646584
1,0.702143967,0.330794841,0.101332054,0.928561091,0.34466207,0.928561091,0.101332054,0.481498805,0.453878496,0.577345704,0.613980249
1,0.854011655,0.799229205,0.502817094,0.313710362,0.494108737,0.854011655,0.854011655,0.59277541,0.71661942,0.55684637,0.584452412
1,0.455123603,0.35329324,0.146900967,0.04377098,0.133194372,0.04377098,0.04377098,0.226456632,0.060914592,0.215265183,0.153370203
1,0.774251103,0.684255123,0.984617114,0.909380436,0.170150414,0.984617114,0.984617114,0.704530838,0.885472698,0.889416218,0.91185496
1,0.829698861,0.719555736,0.693728268,0.936890364,0.415304095,0.936890364,0.936890364,0.719035465,0.899380005,0.820105831,0.872209226
1,0.015410235,0.135620415,0.002382451,0.000538973,0.171176553,0.000538973,0.000538973,0.065025725,0.012745586,0.006110553,0.049109955
1,0.847422838,0.61540252,0.998347759,0.979672134,0.487430632,0.998347759,0.998347759,0.785655177,0.945656365,0.941814244,0.934065545
1,0.276660442,0.403046191,0.032078873,0.101480953,0.27206561,0.032078873,0.032078873,0.217066414,0.055759355,0.13674009,0.101601132
1,0.636169076,0.742962658,0.291107982,0.948727608,0.821291864,0.948727608,0.948727608,0.688051838,0.867670657,0.625334889,0.679616365
1,0.42012611,0.317301214,0.900722802,0.927114189,0.250984877,0.927114189,0.250984877,0.563249838,0.653055747,0.749321034,0.816966097
1,0.46016103,0.522919536,0.816824377,0.699956715,0.144727379,0.816824377,0.816824377,0.528917807,0.5717949,0.658980707,0.72189566
1,0.064133719,0.154830083,0.007278227,0.078740403,0.108996905,0.007278227,0.007278227,0.082795868,0.015186561,0.050050783,0.062991338
1,0.345609277,0.246360853,0.048750311,0.000535681,0.117532067,0.000535681,0.000535681,0.151757638,0.029816491,0.131631757,0.098837415
1,0.853553593,0.838630319,0.998826563,0.999814332,0.750795722,0.999814332,0.999814332,0.888324106,0.979831153,0.950731496,0.937285131
1,0.034294706,0.138250962,0.024649873,0.039397668,0.126045823,0.024649873,0.024649873,0.072527806,0.013724923,0.032780749,0.057145275
1,0.130474031,0.40743944,0.930167139,0.331451565,0.170309991,0.130474031,0.130474031,0.393968433,0.257249135,0.464030912,0.446254808
1,0.603896916,0.118336283,0.912253022,0.976324439,0.175941244,0.976324439,0.976324439,0.557350381,0.639571267,0.830824792,0.879207714
1,0.202822015,0.14406155,0.132894486,0.9561854,0.296836168,0.132894486,0.132894486,0.346559924,0.177350714,0.430633967,0.397427324
1,0.69485867,0.339780778,0.92968601,0.040552989,0.280231208,0.92968601,0.040552989,0.457021931,0.394178702,0.555032556,0.581806905
1,0.13342461,0.072817497,0.010513161,0.000115561,0.154599458,0.000115561,0.000115561,0.074294057,0.013966077,0.048017777,0.062275195
1,0.527131915,0.289560407,0.95306927,0.997606516,0.120360181,0.997606516,0.997606516,0.577545658,0.684700077,0.8259359,0.876057654
1,0.655117512,0.723511934,0.99621433,0.010750475,0.429938167,0.99621433,0.99621433,0.563106484,0.652730872,0.554027439,0.580338869
1,0.031429201,0.204966709,0.007912707,0.00012238,0.108003736,0.00012238,0.00012238,0.070486946,0.013451385,0.013154763,0.051121703
1,0.650637209,0.191434801,0.847441316,0.006431774,0.291342884,0.847441316,0.006431774,0.397457597,0.263972212,0.501503433,0.502255134
1,0.038837578,0.144904226,0.008390409,0.001477446,0.106311485,0.001477446,0.001477446,0.059984229,0.012126546,0.016235144,0.052025721
1,0.015829874,0.092873871,0.149939254,0.000594403,0.153607756,0.000594403,0.000594403,0.082569032,0.015152673,0.055454511,0.064932349
1,0.432932913,0.264492542,0.947865725,0.0019743,0.189868316,0.0019743,0.0019743,0.367426759,0.209866151,0.460924313,0.441653494
1,0.465266347,0.552548528,0.165877402,0.102371022,0.363182455,0.102371022,0.102371022,0.329849151,0.15426835,0.244504924,0.177559488
1,0.511354864,0.251760751,0.157386422,0.004118618,0.287701905,0.004118618,0.004118618,0.242464512,0.070741479,0.224286635,0.160531308
1,0.52382499,0.711162329,0.993290186,0.930819511,0.315111518,0.993290186,0.993290186,0.694841707,0.875273937,0.815978229,0.869423306
1,0.049278188,0.079933733,0.228653967,0.001630181,0.160488635,0.001630181,0.001630181,0.103996941,0.018705948,0.093187446,0.080108385
1,0.011040035,0.065677941,0.010756026,0.000603053,0.248738647,0.000603053,0.000603053,0.06736314,0.013043081,0.007466371,0.049491236
1,0.558894038,0.366679311,0.766236424,0.212692514,0.260943472,0.766236424,0.212692514,0.433089152,0.338696496,0.512607659,0.518902475
1,0.888913214,0.830018222,0.829227328,0.850259364,0.532760501,0.888913214,0.888913214,0.786235726,0.945953941,0.856133302,0.894428811
1,0.524393857,0.117225036,0.602246046,0.001192812,0.158311322,0.602246046,0.001192812,0.280673815,0.100357211,0.375944238,0.32205702
1,0.82295084,0.320786536,0.997586608,0.99868089,0.22174345,0.99868089,0.99868089,0.672349665,0.848578678,0.939739446,0.933294704
1,0.032728601,0.074216954,0.009828909,0.000189933,0.134836286,0.000189933,0.000189933,0.050360137,0.011026145,0.014249148,0.051441164
1,0.319463581,0.292735845,0.961307645,0.000869179,0.103210293,0.000869179,0.000869179,0.335517308,0.161809333,0.427213468,0.392522997
1,0.226701215,0.201252893,0.753580093,0.00202035,0.287279993,0.00202035,0.00202035,0.294166909,0.113213292,0.327433886,0.262039183
1,0.729475915,0.262732655,0.923416197,0.020405117,0.254169822,0.923416197,0.020405117,0.438039941,0.349872297,0.557765743,0.585791502
1,0.842920661,0.566541433,0.993784428,0.999137104,0.118674785,0.999137104,0.999137104,0.704211682,0.885148641,0.945280731,0.935334984
1,0.583197534,0.406934768,0.722754955,0.81923008,0.229490787,0.81923008,0.81923008,0.552321625,0.627899524,0.70839419,0.777363062
1,0.030076653,0.122342475,0.000801638,0.001981214,0.134436145,0.000801638,0.000801638,0.057927625,0.011882631,0.010953168,0.050484716
1,0.658104062,0.444496244,0.944931984,0.007696649,0.177895769,0.944931984,0.007696649,0.446624942,0.36964255,0.536910898,0.555141156
1,0.657082677,0.472651303,0.140349075,0.881694794,0.361519367,0.881694794,0.140349075,0.502659443,0.506648216,0.559708849,0.588617491
1,0.286751807,0.281286985,0.858131588,0.97811079,0.204066828,0.97811079,0.204066828,0.521669599,0.553963001,0.707664728,0.776604656
1,0.015271947,0.066198789,0.103014112,0.00072806,0.157863855,0.00072806,0.00072806,0.068615352,0.013205264,0.039671373,0.05941408
1,0.20353806,0.250819862,0.007467896,0.000501978,0.095845707,0.000501978,0.000501978,0.1116347,0.020160708,0.070502644,0.070634452
1,0.038844123,0.210055754,0.013308138,0.001464768,0.125589937,0.001464768,0.001464768,0.077852544,0.014464688,0.017872343,0.052512329
1,0.592880905,0.715589106,0.997286439,0.990978837,0.418257236,0.997286439,0.997286439,0.742998505,0.919085421,0.86038206,0.896811877
1,0.161969438,0.452616543,0.002367162,0.918851614,0.166726574,0.002367162,0.002367162,0.340506266,0.168690382,0.361062738,0.302879431
1,0.034161165,0.229398251,0.015051421,0.022071701,0.175517142,0.015051421,0.015051421,0.095239936,0.017164463,0.023761429,0.054298446
1,0.350959241,0.463564038,0.909317434,0.857068598,0.830893338,0.909317434,0.909317434,0.68236053,0.860998172,0.705781758,0.774638475
1,0.306589544,0.502841234,0.79802531,0.451763898,0.190638721,0.190638721,0.190638721,0.449971741,0.377474262,0.518792917,0.528159547
1,0.1783517,0.430396467,0.936511397,0.02336552,0.43191871,0.02336552,0.02336552,0.400108759,0.269155308,0.379409539,0.32661332
1,0.797037065,0.367487282,0.042247713,0.028607059,0.545741558,0.028607059,0.028607059,0.356224135,0.191892675,0.289297279,0.220248929
1,0.243768319,0.394249856,0.997411311,0.996597588,0.360536307,0.997411311,0.243768319,0.598512676,0.728124293,0.745925739,0.813900165
1,0.773663282,0.502692938,0.997373343,0.999742687,0.089979932,0.999742687,0.999742687,0.672690436,0.849016026,0.923593104,0.927004365
1,0.881661057,0.795564234,0.874993145,0.997486711,0.823941052,0.997486711,0.997486711,0.87472924,0.976961767,0.918046971,0.924720371
1,0.968179703,0.77705884,0.994637668,0.998278022,0.568906844,0.998278022,0.998278022,0.861412215,0.973766189,0.987031798,0.948932568
1,0.192942023,0.115461059,0.026273154,0.005523368,0.253402829,0.005523368,0.005523368,0.118720487,0.021609092,0.074912848,0.072391364
1,0.437965423,0.056552764,0.583840311,0.004573645,0.177341476,0.004573645,0.004573645,0.252054724,0.07731123,0.34212646,0.279439969
1,0.011112739,0.029120313,0.00057361,3.75E-05,0.117043175,3.75102E-05,3.75102E-05,0.03157747,0.009155296,0.003907953,0.048496475
1,0.501223207,0.401621252,0.95524925,0.158587724,0.097700171,0.95524925,0.097700171,0.422876321,0.316211624,0.538353393,0.55727755
1,0.71667099,0.608757913,0.993558586,0.982264102,0.328941882,0.993558586,0.993558586,0.726038694,0.905542734,0.897497892,0.915675327
1,0.533204317,0.472913146,0.130695984,0.785042524,0.308463603,0.785042524,0.130695984,0.446063915,0.368336277,0.482980942,0.474493572
1,0.657275259,0.266802818,0.062489886,0.009504777,0.119710796,0.009504777,0.009504777,0.223156707,0.05905403,0.243089974,0.176323112
1,0.421785593,0.308285624,0.185150474,0.015813434,0.130933464,0.015813434,0.015813434,0.212393718,0.053349628,0.207583167,0.14748039
1,0.322083861,0.378299773,0.657216251,0.439600199,0.223931998,0.223931998,0.223931998,0.404226416,0.277331747,0.47296677,0.459538823
1,0.018127993,0.272007197,0.004304778,0.003447101,0.15156956,0.003447101,0.003447101,0.089891326,0.016285081,0.008626624,0.049819748
1,0.11834722,0.117273852,0.01143626,6.55E-05,0.14490135,6.5471E-05,6.5471E-05,0.078404831,0.014543631,0.043282984,0.060636694
1,0.471060395,0.662968099,0.997567713,0.95772028,0.074261829,0.997567713,0.997567713,0.632715663,0.79036992,0.808782796,0.864443425
1,0.120155171,0.117814861,0.040302798,0.004218129,0.124868192,0.004218129,0.004218129,0.08147183,0.014989805,0.054892033,0.064727741
1,0.70540458,0.667389095,0.539365828,0.987973452,0.40787378,0.987973452,0.987973452,0.661601347,0.834244604,0.744247953,0.812370572
1,0.182546943,0.612462342,0.158486456,0.000206324,0.374915898,0.000206324,0.000206324,0.265723593,0.087642643,0.113746574,0.089682274
1,0.01943605,0.296666145,0.033448655,0.097068645,0.130872026,0.01943605,0.01943605,0.115498304,0.020938253,0.04998445,0.062967851
1,0.879163146,0.755243719,0.926170409,0.992391407,0.782648385,0.992391407,0.992391407,0.867123413,0.975186337,0.932574987,0.93056817
1,0.023407754,0.013228808,0.077457331,0.000452533,0.109732136,0.000452533,0.000452533,0.044855712,0.010441787,0.033772539,0.057466745
